id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
2,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
3,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
4,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
5,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
6,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
7,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
8,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
9,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
10,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
11,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
12,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
13,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
14,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
15,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
16,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
17,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
18,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
19,1.1626,0.7573,0.9107,0.3814,1.3863,1.4609,1.0399,1.6243,0.4475,0.8432,1.8522,1.2708,0.7619,1.5753,1.0936,1.5671,1.1314,0.467,1.3852,1.1073,0.5885,1.5997,2.0905,1.8989,1.6565
20,1.1268,0.8322,1.005,0.4805,1.3619,1.4227,1.0353,1.8056,0.6663,0.9635,2.0298,1.3328,0.7869,1.7201,0.8981,1.5625,1.3248,0.4981,1.2831,1.1772,0.7969,1.7428,2.2273,2.0261,1.7553
21,1.3209,1.1265,1.2663,0.4568,1.5841,1.4904,1.0865,2.0014,0.8669,1.2407,2.1466,1.604,1.0675,1.9049,0.9352,1.6639,1.5581,0.4047,1.4478,1.466,0.9803,1.9102,2.4547,2.1503,1.9726
22,1.1386,1.016,1.08,0.4744,1.4141,1.292,0.8754,1.8049,0.7256,1.1754,1.9556,1.4315,1.0125,1.6899,0.887,1.4519,1.3885,0.3306,1.315,1.3236,0.8189,1.6939,2.2451,1.9327,1.7567
23,1.1729,1.0326,1.0991,0.4386,1.4481,1.3187,0.8938,1.8058,0.7173,1.1807,1.9486,1.4558,1.0286,1.6972,0.9247,1.4769,1.3891,0.2954,1.354,1.3448,0.8111,1.6998,2.2576,1.9373,1.7749
24,1.2116,1.0535,1.1221,0.4001,1.4865,1.3486,0.9151,1.8078,0.711,1.1893,1.9413,1.484,1.0491,1.7062,0.967,1.5049,1.3914,0.2573,1.3976,1.37,0.8049,1.7072,2.2723,1.9429,1.7959
25,1.2489,1.0726,1.1441,0.3628,1.523,1.3792,0.9385,1.8101,0.7058,1.1963,1.9352,1.5105,1.0677,1.7156,1.0081,1.5334,1.3935,0.224,1.4393,1.3933,0.7998,1.7153,2.2864,1.9496,1.8164
