id,t,r,g,b
1,97,0,93,255
2,122,255,109,0
3,143,255,0,164
4,60,255,0,118
5,144,110,0,255
6,8,255,90,0
7,51,0,0,255
8,125,255,81,0
9,0,154,255,0
10,142,218,255,0
11,88,0,55,255
12,43,0,255,38
13,75,255,0,152
14,70,255,0,165
15,64,132,0,255
16,54,0,236,255
17,117,193,255,0
18,32,0,255,238
19,4,255,217,0
20,54,59,0,255
21,138,255,206,0
22,2,255,0,48
23,17,6,0,255
24,19,255,0,54
25,140,0,25,255
26,104,0,228,255
27,143,255,157,0
28,117,206,0,255
29,21,16,0,255
30,130,255,0,126
31,134,204,0,255
32,81,255,0,159
33,101,103,255,0
34,71,6,255,0
35,113,255,161,0
36,131,255,13,0
37,54,255,0,183
38,103,102,255,0
39,39,199,255,0
40,137,0,89,255

