id,t,r,g,b
1,40,106,0,255
2,40,183,0,255
3,63,255,154,0
4,95,255,25,0
5,116,255,0,10
6,138,0,180,255
7,60,255,203,0
8,47,189,0,255
9,104,0,255,178
10,95,0,255,97
11,133,255,0,150
12,148,255,0,158
13,142,255,0,73
14,95,0,255,109
15,144,88,0,255
16,138,145,0,255
17,103,0,105,255
18,106,0,78,255
19,89,164,0,255
20,26,0,255,205
21,128,255,0,130
22,80,0,255,18
23,19,255,206,0
24,71,0,255,229
25,21,255,0,98
26,137,0,229,255
27,106,0,255,72
28,71,255,209,0
29,19,255,37,0
30,96,0,255,60
31,74,0,88,255
32,79,0,245,255
33,10,0,255,121
34,42,198,255,0
35,105,0,173,255
36,40,255,0,171
37,32,0,247,255
38,102,255,142,0
39,110,0,129,255
40,9,52,255,0

